line,text,,
60,"quem procul ex alga maestis Minois ocellis,",,
61,"saxea ut effigies bacchantis, prospicit, eheu,",,
62,prospicit et magnis curarum fluctuat undis,,
,,,
86,hunc simul ac cupido conspexit lumine uirgo,,
87,"regia, quam suauis exspirans castus odores",,
88,"lectulus in molli complexu matris alebat,",,
89,quales Eurotae praecingunt flumina myrtus,,
90,"auraue distinctos educit uerna colores,",,
91,non prius ex illo flagrantia declinauit,,
92,"lumina, quam cuncto concepit corpore flammam",,
93,funditus atque imis exarsit tota medullis.,,
,,,
100,"quanto saepe magis fulgore expalluit auri,",,
,,,
103,non ingrata tamen frustra munuscula diuis,,
104,promittens tacito succepit uota labello.,,
105,nam uelut in summo quatientem brachia Tauro,,
106,quercum aut conigeram sudanti cortice pinum,,
107,"indomitus turbo contorquens flamine robur,",,
108,eruit (illa procul radicitus exturbata,,
109,"prona cadit, late quaeuis cumque obuia frangens),",,
110,sic domito saeuum prostrauit corpore Theseus,,
111,nequiquam uanis iactantem cornua uentis.,,
,,,
238,haec mandata prius constanti mente tenentem,,
239,Thesea ceu pulsae uentorum flamine nubes,,
240,aereum niuei montis liquere cacumen.,,
,,,
267,quae postquam cupide spectando Thessala pubes,,
268,"expleta est, sanctis coepit decedere diuis.",,
269,"hic, qualis flatu placidum mare matutino",,
270,"horrificans Zephyrus procliuas incitat undas,",,
271,"Aurora exoriente uagi sub limina Solis,",,
272,quae tarde primum clementi flamine pulsae,,
273,"procedunt leuiterque sonant plangore cachinni,",,
274,"post uento crescente magis magis increbescunt,",,
275,purpureaque procul nantes ab luce refulgent:,,
276,sic tum uestibuli linquentes regia tecta,,
277,ad se quisque uago passim pede discedebant.,,
,,,
340,qui persaepe uago uictor certamine cursus,,
341,flammea praeuertet celeris uestigia ceruae.,,
,,,
353,namque uelut densas praecerpens messor aristas,,
354,"sole sub ardenti flauentia demetit arua,",,
355,Troiugenum infesto prosternet corpora ferro.,,
,,,
368,alta Polyxenia madefient caede sepulcra;,,
369,"quae, uelut ancipiti succumbens uictima ferro,",,
370,proiciet truncum summisso poplite corpus.,,
,,,
,,,
